국가	시점	의약품	데이터
아시아	2018	진통제	
아시아	2018	수면제 및 진정제	
아시아	2018	항우울제	
아시아	2019	소화관 및 신진대사	
아시아	2019	제산제	
아시아	2019	소화성궤양 및 위장용 약물	
아시아	2019	당뇨 약물	
아시아	2019	심장 배당체	
아시아	2019	항 부정맥제	
아시아	2019	이뇨제	
아시아	2019	향균제	
아시아	2019	진통제	
아시아	2019	수면제 및 진정제	
아시아	2019	항우울제	
아시아	2020	소화관 및 신진대사	
아시아	2020	제산제	
아시아	2020	소화성궤양 및 위장용 약물	
아시아	2020	당뇨 약물	
아시아	2020	심장 배당체	
아시아	2020	항 부정맥제	
아시아	2020	이뇨제	
아시아	2020	향균제	
아시아	2020	진통제	
아시아	2020	수면제 및 진정제	
아시아	2020	항우울제	
한국	2008	소화관 및 신진대사	263.6
한국	2008	제산제	2.2
한국	2008	소화성궤양 및 위장용 약물	33.1
한국	2008	당뇨 약물	59.8
한국	2008	심장 배당체	1.5
한국	2008	항 부정맥제	0.6
한국	2008	이뇨제	20.5
한국	2008	향균제	26.9
한국	2008	진통제	15.1
한국	2008	수면제 및 진정제	5.4
한국	2008	항우울제	7.9
한국	2009	소화관 및 신진대사	288.8
한국	2009	제산제	3
한국	2009	소화성궤양 및 위장용 약물	32.9
한국	2009	당뇨 약물	68.1
한국	2009	심장 배당체	1.4
한국	2009	항 부정맥제	0.6
한국	2009	이뇨제	20.2
한국	2009	향균제	26.9
한국	2009	진통제	12
한국	2009	수면제 및 진정제	7.4
한국	2009	항우울제	10.8
한국	2010	소화관 및 신진대사	278.1
한국	2010	제산제	2.9
한국	2010	소화성궤양 및 위장용 약물	34.6
한국	2010	당뇨 약물	65.5
한국	2010	심장 배당체	1.4
한국	2010	항 부정맥제	0.7
한국	2010	이뇨제	19.2
한국	2010	향균제	27.5
한국	2010	진통제	11.8
한국	2010	수면제 및 진정제	7.7
한국	2010	항우울제	11.3
한국	2011	소화관 및 신진대사	240.6
한국	2011	제산제	3.7
한국	2011	소화성궤양 및 위장용 약물	37.8
한국	2011	당뇨 약물	64.1
한국	2011	심장 배당체	1.4
한국	2011	항 부정맥제	0.9
한국	2011	이뇨제	20.3
한국	2011	향균제	29.1
한국	2011	진통제	11.7
한국	2011	수면제 및 진정제	8.1
한국	2011	항우울제	13.8
한국	2012	소화관 및 신진대사	245.7
한국	2012	제산제	3.6
한국	2012	소화성궤양 및 위장용 약물	39.9
한국	2012	당뇨 약물	64.3
한국	2012	심장 배당체	1.4
한국	2012	항 부정맥제	0.9
한국	2012	이뇨제	19
한국	2012	향균제	29.8
한국	2012	진통제	12.4
한국	2012	수면제 및 진정제	8.4
한국	2012	항우울제	15.2
한국	2013	소화관 및 신진대사	330.9
한국	2013	제산제	4.1
한국	2013	소화성궤양 및 위장용 약물	42.3
한국	2013	당뇨 약물	65.4
한국	2013	심장 배당체	1.4
한국	2013	항 부정맥제	0.9
한국	2013	이뇨제	18.7
한국	2013	향균제	30.1
한국	2013	진통제	12.8
한국	2013	수면제 및 진정제	9.5
한국	2013	항우울제	17
한국	2014	소화관 및 신진대사	422.9
한국	2014	제산제	4.5
한국	2014	소화성궤양 및 위장용 약물	45.2
한국	2014	당뇨 약물	60.8
한국	2014	심장 배당체	1.3
한국	2014	항 부정맥제	1
한국	2014	이뇨제	17.9
한국	2014	향균제	31.7
한국	2014	진통제	13.6
한국	2014	수면제 및 진정제	10.1
한국	2014	항우울제	18
한국	2015	소화관 및 신진대사	370
한국	2015	제산제	4.7
한국	2015	소화성궤양 및 위장용 약물	46.1
한국	2015	당뇨 약물	61.7
한국	2015	심장 배당체	1.2
한국	2015	항 부정맥제	1.1
한국	2015	이뇨제	17.4
한국	2015	향균제	31.5
한국	2015	진통제	13.3
한국	2015	수면제 및 진정제	10.8
한국	2015	항우울제	20.3
한국	2016	소화관 및 신진대사	217.5
한국	2016	제산제	3.1
한국	2016	소화성궤양 및 위장용 약물	41.8
한국	2016	당뇨 약물	60.3
한국	2016	심장 배당체	1.1
한국	2016	항 부정맥제	1.1
한국	2016	이뇨제	14.7
한국	2016	향균제	30.3
한국	2016	진통제	11.9
한국	2016	수면제 및 진정제	10
한국	2016	항우울제	17.2
한국	2017	소화관 및 신진대사	219.3
한국	2017	제산제	3.2
한국	2017	소화성궤양 및 위장용 약물	43
한국	2017	당뇨 약물	63.1
한국	2017	심장 배당체	1
한국	2017	항 부정맥제	1.3
한국	2017	이뇨제	14.6
한국	2017	향균제	29
한국	2017	진통제	11.9
한국	2017	수면제 및 진정제	10.3
한국	2017	항우울제	18.8
한국	2018	소화관 및 신진대사	223.5
한국	2018	제산제	3.5
한국	2018	소화성궤양 및 위장용 약물	46.8
한국	2018	당뇨 약물	65.2
한국	2018	심장 배당체	0.9
한국	2018	항 부정맥제	1.4
한국	2018	이뇨제	14.6
한국	2018	향균제	29.8
한국	2018	진통제	12.2
한국	2018	수면제 및 진정제	11
한국	2018	항우울제	21
한국	2019	소화관 및 신진대사	256
한국	2019	제산제	3.7
한국	2019	소화성궤양 및 위장용 약물	61.2
한국	2019	당뇨 약물	67.8
한국	2019	심장 배당체	0.9
한국	2019	항 부정맥제	1.6
한국	2019	이뇨제	14.4
한국	2019	향균제	26.1
한국	2019	진통제	12.3
한국	2019	수면제 및 진정제	11.6
한국	2019	항우울제	23.4
이스라엘	2012	소화관 및 신진대사	110.7
이스라엘	2012	제산제	0.3
이스라엘	2012	소화성궤양 및 위장용 약물	52.5
이스라엘	2012	당뇨 약물	36.8
이스라엘	2012	심장 배당체	0.5
이스라엘	2012	항 부정맥제	3
이스라엘	2012	이뇨제	14.3
이스라엘	2012	향균제	15.1
이스라엘	2012	진통제	6.5
이스라엘	2012	수면제 및 진정제	15.8
이스라엘	2012	항우울제	34.3
이스라엘	2014	소화관 및 신진대사	148.6
이스라엘	2014	제산제	0.2
이스라엘	2014	소화성궤양 및 위장용 약물	62
이스라엘	2014	당뇨 약물	55.3
이스라엘	2014	심장 배당체	0.5
이스라엘	2014	항 부정맥제	4
이스라엘	2014	이뇨제	20.8
이스라엘	2014	향균제	22.1
이스라엘	2014	진통제	7.9
이스라엘	2014	수면제 및 진정제	20.3
이스라엘	2014	항우울제	42.1
이스라엘	2015	소화관 및 신진대사	158.9
이스라엘	2015	제산제	0.2
이스라엘	2015	소화성궤양 및 위장용 약물	64.4
이스라엘	2015	당뇨 약물	59.6
이스라엘	2015	심장 배당체	0.5
이스라엘	2015	항 부정맥제	3.9
이스라엘	2015	이뇨제	20.4
이스라엘	2015	향균제	24.9
이스라엘	2015	진통제	8.3
이스라엘	2015	수면제 및 진정제	21
이스라엘	2015	항우울제	44.4
이스라엘	2016	소화관 및 신진대사	198
이스라엘	2016	제산제	0.1
이스라엘	2016	소화성궤양 및 위장용 약물	65.4
이스라엘	2016	당뇨 약물	62.7
이스라엘	2016	심장 배당체	0.4
이스라엘	2016	항 부정맥제	4
이스라엘	2016	이뇨제	20.2
이스라엘	2016	향균제	23.9
이스라엘	2016	진통제	10.1
이스라엘	2016	수면제 및 진정제	21.7
이스라엘	2016	항우울제	46.7
이스라엘	2017	소화관 및 신진대사	181.3
이스라엘	2017	제산제	0.1
이스라엘	2017	소화성궤양 및 위장용 약물	65.3
이스라엘	2017	당뇨 약물	64.4
이스라엘	2017	심장 배당체	0.4
이스라엘	2017	항 부정맥제	3.9
이스라엘	2017	이뇨제	18.4
이스라엘	2017	향균제	21.2
이스라엘	2017	진통제	12.3
이스라엘	2017	수면제 및 진정제	22.5
이스라엘	2017	항우울제	49.2
이스라엘	2018	소화관 및 신진대사	173.7
이스라엘	2018	제산제	0.1
이스라엘	2018	소화성궤양 및 위장용 약물	63.7
이스라엘	2018	당뇨 약물	62.6
이스라엘	2018	심장 배당체	0.4
이스라엘	2018	항 부정맥제	3.8
이스라엘	2018	이뇨제	18.3
이스라엘	2018	향균제	18.9
이스라엘	2018	진통제	12.8
이스라엘	2018	수면제 및 진정제	23
이스라엘	2018	항우울제	51.1
이스라엘	2019	소화관 및 신진대사	172.6
이스라엘	2019	제산제	0.1
이스라엘	2019	소화성궤양 및 위장용 약물	65.8
이스라엘	2019	당뇨 약물	61.6
이스라엘	2019	심장 배당체	0.3
이스라엘	2019	항 부정맥제	3.8
이스라엘	2019	이뇨제	18
이스라엘	2019	향균제	19.1
이스라엘	2019	진통제	10.3
이스라엘	2019	수면제 및 진정제	23.5
이스라엘	2019	항우울제	53.8
이스라엘	2020	소화관 및 신진대사	178.8
이스라엘	2020	제산제	0.1
이스라엘	2020	소화성궤양 및 위장용 약물	66.7
이스라엘	2020	당뇨 약물	59.9
이스라엘	2020	심장 배당체	0.3
이스라엘	2020	항 부정맥제	3.7
이스라엘	2020	이뇨제	17.3
이스라엘	2020	향균제	13.4
이스라엘	2020	진통제	14.2
이스라엘	2020	수면제 및 진정제	24.2
이스라엘	2020	항우울제	55.4
일본	2011	향균제	13.3
일본	2012	향균제	14
일본	2013	향균제	14
터키	2008	소화관 및 신진대사	118.7
터키	2008	제산제	2.5
터키	2008	소화성궤양 및 위장용 약물	38.3
터키	2008	당뇨 약물	36.9
터키	2008	심장 배당체	2.4
터키	2008	항 부정맥제	0.6
터키	2008	이뇨제	6.3
터키	2008	향균제	35.7
터키	2008	진통제	7.8
터키	2008	수면제 및 진정제	0
터키	2008	항우울제	27.8
터키	2009	소화관 및 신진대사	125.9
터키	2009	제산제	2.6
터키	2009	소화성궤양 및 위장용 약물	37.9
터키	2009	당뇨 약물	41
터키	2009	심장 배당체	2.2
터키	2009	항 부정맥제	0.7
터키	2009	이뇨제	6.5
터키	2009	향균제	37.9
터키	2009	진통제	7.7
터키	2009	수면제 및 진정제	0
터키	2009	항우울제	29.1
터키	2010	소화관 및 신진대사	147
터키	2010	제산제	2.5
터키	2010	소화성궤양 및 위장용 약물	45.9
터키	2010	당뇨 약물	47.5
터키	2010	심장 배당체	2
터키	2010	항 부정맥제	0.7
터키	2010	이뇨제	6.7
터키	2010	향균제	39.7
터키	2010	진통제	6.8
터키	2010	수면제 및 진정제	0
터키	2010	항우울제	32.7
터키	2011	소화관 및 신진대사	170.9
터키	2011	제산제	2.5
터키	2011	소화성궤양 및 위장용 약물	50.3
터키	2011	당뇨 약물	53.4
터키	2011	심장 배당체	1.9
터키	2011	항 부정맥제	0.7
터키	2011	이뇨제	6.2
터키	2011	향균제	42.3
터키	2011	진통제	7.5
터키	2011	수면제 및 진정제	0
터키	2011	항우울제	37
터키	2012	소화관 및 신진대사	185.4
터키	2012	제산제	2.4
터키	2012	소화성궤양 및 위장용 약물	53.1
터키	2012	당뇨 약물	56.2
터키	2012	심장 배당체	1.7
터키	2012	항 부정맥제	0.8
터키	2012	이뇨제	6.7
터키	2012	향균제	42.2
터키	2012	진통제	7.4
터키	2012	수면제 및 진정제	0
터키	2012	항우울제	37.3
터키	2013	소화관 및 신진대사	199.1
터키	2013	제산제	2.2
터키	2013	소화성궤양 및 위장용 약물	53
터키	2013	당뇨 약물	58.4
터키	2013	심장 배당체	1.6
터키	2013	항 부정맥제	0.8
터키	2013	이뇨제	7
터키	2013	향균제	41.1
터키	2013	진통제	8.3
터키	2013	수면제 및 진정제	0
터키	2013	항우울제	36.3
터키	2014	소화관 및 신진대사	224
터키	2014	제산제	2.3
터키	2014	소화성궤양 및 위장용 약물	54.8
터키	2014	당뇨 약물	61.1
터키	2014	심장 배당체	1.5
터키	2014	항 부정맥제	0.9
터키	2014	이뇨제	7.3
터키	2014	향균제	39.5
터키	2014	진통제	10.6
터키	2014	수면제 및 진정제	0
터키	2014	항우울제	38.1
터키	2015	소화관 및 신진대사	286.2
터키	2015	제산제	2.4
터키	2015	소화성궤양 및 위장용 약물	59.6
터키	2015	당뇨 약물	64.2
터키	2015	심장 배당체	1.4
터키	2015	항 부정맥제	0.9
터키	2015	이뇨제	7.5
터키	2015	향균제	40.2
터키	2015	진통제	9.9
터키	2015	수면제 및 진정제	0
터키	2015	항우울제	40.7
터키	2016	소화관 및 신진대사	332.7
터키	2016	제산제	2.2
터키	2016	소화성궤양 및 위장용 약물	59.2
터키	2016	당뇨 약물	66.5
터키	2016	심장 배당체	1.3
터키	2016	항 부정맥제	1
터키	2016	이뇨제	7.9
터키	2016	향균제	40.2
터키	2016	진통제	10.6
터키	2016	수면제 및 진정제	0
터키	2016	항우울제	41
터키	2017	소화관 및 신진대사	340.6
터키	2017	제산제	2.1
터키	2017	소화성궤양 및 위장용 약물	66.6
터키	2017	당뇨 약물	72.6
터키	2017	심장 배당체	1.3
터키	2017	항 부정맥제	1
터키	2017	이뇨제	8.1
터키	2017	향균제	35.3
터키	2017	진통제	10.4
터키	2017	수면제 및 진정제	0
터키	2017	항우울제	43.5
터키	2018	소화관 및 신진대사	387.4
터키	2018	제산제	2.5
터키	2018	소화성궤양 및 위장용 약물	75.8
터키	2018	당뇨 약물	75.4
터키	2018	심장 배당체	1.2
터키	2018	항 부정맥제	1.1
터키	2018	이뇨제	9.3
터키	2018	향균제	31
터키	2018	진통제	10
터키	2018	수면제 및 진정제	0
터키	2018	항우울제	44.1
터키	2019	소화관 및 신진대사	392.4
터키	2019	제산제	2.5
터키	2019	소화성궤양 및 위장용 약물	76.2
터키	2019	당뇨 약물	79.1
터키	2019	심장 배당체	1.1
터키	2019	항 부정맥제	1.2
터키	2019	이뇨제	9.5
터키	2019	향균제	31.9
터키	2019	진통제	10
터키	2019	수면제 및 진정제	0
터키	2019	항우울제	44.2
북아메리카	1998	소화관 및 신진대사	
북아메리카	1998	제산제	
북아메리카	1998	소화성궤양 및 위장용 약물	
북아메리카	1998	당뇨 약물	
북아메리카	1998	심장 배당체	
북아메리카	1998	항 부정맥제	
북아메리카	1998	이뇨제	
북아메리카	1998	향균제	
북아메리카	1998	진통제	
북아메리카	1998	수면제 및 진정제	
북아메리카	1998	항우울제	
북아메리카	1999	소화관 및 신진대사	
북아메리카	1999	제산제	
북아메리카	1999	소화성궤양 및 위장용 약물	
북아메리카	1999	당뇨 약물	
북아메리카	1999	심장 배당체	
북아메리카	1999	항 부정맥제	
북아메리카	1999	이뇨제	
북아메리카	1999	향균제	
북아메리카	1999	진통제	
북아메리카	1999	수면제 및 진정제	
북아메리카	1999	항우울제	
북아메리카	2000	소화관 및 신진대사	
북아메리카	2000	제산제	
북아메리카	2000	소화성궤양 및 위장용 약물	
북아메리카	2000	당뇨 약물	
북아메리카	2000	심장 배당체	
북아메리카	2000	항 부정맥제	
북아메리카	2000	이뇨제	
북아메리카	2000	향균제	
북아메리카	2000	진통제	
북아메리카	2000	수면제 및 진정제	
북아메리카	2000	항우울제	
북아메리카	2001	소화관 및 신진대사	
북아메리카	2001	제산제	
북아메리카	2001	소화성궤양 및 위장용 약물	
북아메리카	2001	당뇨 약물	
북아메리카	2001	심장 배당체	
북아메리카	2001	항 부정맥제	
북아메리카	2001	이뇨제	
북아메리카	2001	향균제	
북아메리카	2001	진통제	
북아메리카	2001	수면제 및 진정제	
북아메리카	2001	항우울제	
북아메리카	2002	소화관 및 신진대사	
북아메리카	2002	제산제	
북아메리카	2002	소화성궤양 및 위장용 약물	
북아메리카	2002	당뇨 약물	
북아메리카	2002	심장 배당체	
북아메리카	2002	항 부정맥제	
북아메리카	2002	이뇨제	
북아메리카	2002	향균제	
북아메리카	2002	진통제	
북아메리카	2002	수면제 및 진정제	
북아메리카	2002	항우울제	
북아메리카	2003	소화관 및 신진대사	
북아메리카	2003	제산제	
북아메리카	2003	소화성궤양 및 위장용 약물	
북아메리카	2003	당뇨 약물	
북아메리카	2003	심장 배당체	
북아메리카	2003	항 부정맥제	
북아메리카	2003	이뇨제	
북아메리카	2003	향균제	
북아메리카	2003	진통제	
북아메리카	2003	수면제 및 진정제	
북아메리카	2003	항우울제	
북아메리카	2004	소화관 및 신진대사	
북아메리카	2004	제산제	
북아메리카	2004	소화성궤양 및 위장용 약물	
북아메리카	2004	당뇨 약물	
북아메리카	2004	심장 배당체	
북아메리카	2004	항 부정맥제	
북아메리카	2004	이뇨제	
북아메리카	2004	향균제	
북아메리카	2004	진통제	
북아메리카	2004	수면제 및 진정제	
북아메리카	2004	항우울제	
북아메리카	2005	소화관 및 신진대사	
북아메리카	2005	제산제	
북아메리카	2005	소화성궤양 및 위장용 약물	
북아메리카	2005	당뇨 약물	
북아메리카	2005	심장 배당체	
북아메리카	2005	항 부정맥제	
북아메리카	2005	이뇨제	
북아메리카	2005	향균제	
북아메리카	2005	진통제	
북아메리카	2005	수면제 및 진정제	
북아메리카	2005	항우울제	
북아메리카	2006	소화관 및 신진대사	
북아메리카	2006	제산제	
북아메리카	2006	소화성궤양 및 위장용 약물	
북아메리카	2006	당뇨 약물	
북아메리카	2006	심장 배당체	
북아메리카	2006	항 부정맥제	
북아메리카	2006	이뇨제	
북아메리카	2006	향균제	
북아메리카	2006	진통제	
북아메리카	2006	수면제 및 진정제	
북아메리카	2006	항우울제	
북아메리카	2007	소화관 및 신진대사	
북아메리카	2007	제산제	
북아메리카	2007	소화성궤양 및 위장용 약물	
북아메리카	2007	당뇨 약물	
북아메리카	2007	심장 배당체	
북아메리카	2007	항 부정맥제	
북아메리카	2007	이뇨제	
북아메리카	2007	향균제	
북아메리카	2007	진통제	
북아메리카	2007	수면제 및 진정제	
북아메리카	2007	항우울제	
북아메리카	2008	소화관 및 신진대사	
북아메리카	2008	제산제	
북아메리카	2008	소화성궤양 및 위장용 약물	
북아메리카	2008	당뇨 약물	
북아메리카	2008	심장 배당체	
북아메리카	2008	항 부정맥제	
북아메리카	2008	이뇨제	
북아메리카	2008	향균제	
북아메리카	2008	진통제	
북아메리카	2008	수면제 및 진정제	
북아메리카	2008	항우울제	
북아메리카	2009	소화관 및 신진대사	
북아메리카	2009	제산제	
북아메리카	2009	소화성궤양 및 위장용 약물	
북아메리카	2009	당뇨 약물	
북아메리카	2009	심장 배당체	
북아메리카	2009	항 부정맥제	
북아메리카	2009	이뇨제	
북아메리카	2009	향균제	
북아메리카	2009	진통제	
북아메리카	2009	수면제 및 진정제	
북아메리카	2009	항우울제	
북아메리카	2010	소화관 및 신진대사	
북아메리카	2010	제산제	
북아메리카	2010	소화성궤양 및 위장용 약물	
북아메리카	2010	당뇨 약물	
북아메리카	2010	심장 배당체	
북아메리카	2010	항 부정맥제	
북아메리카	2010	이뇨제	
북아메리카	2010	향균제	
북아메리카	2010	진통제	
북아메리카	2010	수면제 및 진정제	
북아메리카	2010	항우울제	
북아메리카	2011	소화관 및 신진대사	
북아메리카	2011	제산제	
북아메리카	2011	소화성궤양 및 위장용 약물	
북아메리카	2011	당뇨 약물	
북아메리카	2011	심장 배당체	
북아메리카	2011	항 부정맥제	
북아메리카	2011	이뇨제	
북아메리카	2011	향균제	
북아메리카	2011	진통제	
북아메리카	2011	수면제 및 진정제	
북아메리카	2011	항우울제	
북아메리카	2012	소화관 및 신진대사	
북아메리카	2012	제산제	
북아메리카	2012	소화성궤양 및 위장용 약물	
북아메리카	2012	당뇨 약물	
북아메리카	2012	심장 배당체	
북아메리카	2012	항 부정맥제	
북아메리카	2012	이뇨제	
북아메리카	2012	향균제	
북아메리카	2012	진통제	
북아메리카	2012	수면제 및 진정제	
북아메리카	2012	항우울제	
북아메리카	2013	소화관 및 신진대사	
북아메리카	2013	제산제	
북아메리카	2013	소화성궤양 및 위장용 약물	
북아메리카	2013	당뇨 약물	
북아메리카	2013	심장 배당체	
북아메리카	2013	항 부정맥제	
북아메리카	2013	이뇨제	
북아메리카	2013	향균제	
북아메리카	2013	진통제	
북아메리카	2013	수면제 및 진정제	
북아메리카	2013	항우울제	
북아메리카	2014	소화관 및 신진대사	
북아메리카	2014	제산제	
북아메리카	2014	소화성궤양 및 위장용 약물	
북아메리카	2014	당뇨 약물	
북아메리카	2014	심장 배당체	
북아메리카	2014	항 부정맥제	
북아메리카	2014	이뇨제	
북아메리카	2014	향균제	
북아메리카	2014	진통제	
북아메리카	2014	수면제 및 진정제	
북아메리카	2014	항우울제	
북아메리카	2015	소화관 및 신진대사	
북아메리카	2015	제산제	
북아메리카	2015	소화성궤양 및 위장용 약물	
북아메리카	2015	당뇨 약물	
북아메리카	2015	심장 배당체	
북아메리카	2015	항 부정맥제	
북아메리카	2015	이뇨제	
북아메리카	2015	향균제	
북아메리카	2015	진통제	
북아메리카	2015	수면제 및 진정제	
북아메리카	2015	항우울제	
북아메리카	2016	소화관 및 신진대사	
북아메리카	2016	제산제	
북아메리카	2016	소화성궤양 및 위장용 약물	
북아메리카	2016	당뇨 약물	
북아메리카	2016	심장 배당체	
북아메리카	2016	항 부정맥제	
북아메리카	2016	이뇨제	
북아메리카	2016	향균제	
북아메리카	2016	진통제	
북아메리카	2016	수면제 및 진정제	
